广州,1号线,黄沙
成都,1号线(五根松-韦家碾),天府五街
武汉,1号线,新荣
上海,1号线,上海南站
乌鲁木齐,1号线,植物园
太原,2号线,府西街
兰州,1号线,土门墩
长春,1号线,胜利公园
济南,1号线,赵营
昆明,1号线(环城南路-大学城南),昌宏西路
东莞,2号线,东城
南昌,1号线,绿茵路
呼和浩特,1号线,乌兰夫纪念馆
厦门,1号线,莲坂
石家庄,1号线,新百广场
南宁,1号线,东盟商务区
温州,S1线,惠民路
徐州,1号线,苏堤路
沈阳,1号线,青年大街
合肥,1号线,金斗公园
郑州,1号线,铁炉
无锡,1号线,庄前
佛山,南海有轨电车1号线,平西
重庆,1号线,鹅岭
哈尔滨,1号线,同江路
福州,1号线,树兜
长沙,1号线,培元桥
香港,东铁线(落馬洲-紅磡),旺角东
南京,S1号线(机场线),吉印大道
北京,S1线,栗园庄
大连,1号线,松江路
深圳,1号线/罗宝线,科学馆
杭州,1号线,近江
苏州,1号线,塔园路
青岛,1号线,凤岗路
宁波,1号线,邬隘
常州,1号线,北郊中学
西安,1号线,三桥
贵阳,1号线,沙冲路
天津,1号线,洪湖里
广州,1号线,长寿路
成都,1号线(五根松-韦家碾),天府三街
武汉,1号线,丹水池
上海,1号线,漕宝路
乌鲁木齐,1号线,体育中心
太原,2号线,开化寺街
兰州,1号线,兰州西站北广场
长春,1号线,人民广场
济南,1号线,紫薇路
昆明,1号线(环城南路-大学城南),晓东村
东莞,2号线,旗峰公园
南昌,1号线,卫东
呼和浩特,1号线,附属医院
厦门,1号线,莲花路口
石家庄,1号线,解放广场
南宁,1号线,万象城
温州,S1线,三垟湿地
徐州,1号线,徐医附院
沈阳,1号线,南市场
合肥,1号线,塘西河公园
郑州,1号线,市民中心
无锡,1号线,民丰
佛山,南海有轨电车1号线,平南
重庆,1号线,大坪
哈尔滨,1号线,哈尔滨南站
福州,1号线,屏山
长沙,1号线,五一广场
香港,东铁线(落馬洲-紅磡),九龙塘
北京,S1线,小园
南京,S1号线(机场线),河海大学·佛城西路
大连,1号线,东纬路
深圳,1号线/罗宝线,华强路
杭州,1号线,婺江路
苏州,1号线,滨河路
青岛,1号线,流亭
宁波,1号线,宝幢
常州,1号线,外国语学校
西安,1号线,皂河
贵阳,1号线,贵阳火车站
天津,1号线,西站
广州,1号线,陈家祠
成都,1号线(五根松-韦家碾),世纪城
武汉,1号线,徐州新村
上海,1号线,上海体育馆
乌鲁木齐,1号线,铁路局
太原,2号线,大南门
兰州,1号线,西站什字
长春,1号线,解放大路
济南,1号线,大学城
昆明,1号线(环城南路-大学城南),珥季路
东莞,2号线,鸿福路
南昌,1号线,地铁大厦
呼和浩特,1号线,新华广场
厦门,1号线,吕厝
石家庄,1号线,平安大街
南宁,1号线,会展中心
温州,S1线,龙腾路
徐州,1号线,彭城广场
沈阳,1号线,太原街
合肥,1号线,紫庐
郑州,1号线,西流湖
无锡,1号线,无锡火车站
佛山,南海有轨电车1号线,玉器街
重庆,1号线,石油路
哈尔滨,1号线,哈达
福州,1号线,东街口
长沙,1号线,黄兴广场
香港,东铁线(落馬洲-紅磡),大围
北京,S1线,石厂
南京,S1号线(机场线),翠屏山
大连,1号线,春柳
深圳,1号线/罗宝线,岗厦
杭州,1号线,城站
苏州,1号线,西环路
青岛,1号线,仙家寨(汽车北站)
宁波,1号线,五乡
常州,1号线,环球港
西安,1号线,枣园
贵阳,1号线,河滨公园
天津,1号线,西北角
广州,1号线,西门口
成都,1号线(五根松-韦家碾),锦城广场
武汉,1号线,二七路
上海,1号线,徐家汇
乌鲁木齐,1号线,小西沟
太原,2号线,体育馆
兰州,1号线,七里河
长春,1号线,东北师大
济南,1号线,园博园
昆明,1号线(环城南路-大学城南),星耀路
东莞,2号线,西平
南昌,1号线,秋水广场
呼和浩特,1号线,人民会堂
厦门,1号线,乌石浦
石家庄,1号线,北国商城
南宁,1号线,金湖广场
温州,S1线,科技城
徐州,1号线,民主北路
沈阳,1号线,沈阳站
合肥,1号线,滨湖会展中心
郑州,1号线,西三环
无锡,1号线,胜利门
佛山,南海有轨电车1号线,中区
重庆,1号线,歇台子
哈尔滨,1号线,医大二院
福州,1号线,南门兜
长沙,1号线,南门口
香港,东铁线(落馬洲-紅磡),沙田
北京,1号线八通线,古城
南京,S1号线(机场线),南京南站
大连,1号线,香工街
深圳,1号线/罗宝线,会展中心
杭州,1号线,定安路
苏州,1号线,桐泾北路
青岛,1号线,瑞金路
宁波,1号线,邱隘东
常州,1号线,新区公园
西安,1号线,汉城路
贵阳,1号线,中山西路
天津,1号线,西南角
广州,1号线,公园前
成都,1号线(五根松-韦家碾),孵化园
武汉,1号线,头道街
上海,1号线,衡山路
乌鲁木齐,1号线,中营工
太原,2号线,南内环
兰州,1号线,小西湖
长春,1号线,工农广场
济南,1号线,创新谷
昆明,1号线(环城南路-大学城南),新亚洲体育城
东莞,2号线,蛤地
南昌,1号线,滕王阁
呼和浩特,1号线,将军衙署
厦门,1号线,塘边
石家庄,1号线,博物院
南宁,1号线,南湖
温州,S1线,瑶溪
徐州,1号线,徐州火车站
沈阳,1号线,云峰北街
合肥,1号线,高王
郑州,1号线,秦岭路
无锡,1号线,三阳广场
佛山,南海有轨电车1号线,三山新城北
重庆,1号线,石桥铺
哈尔滨,1号线,黑龙江大学
福州,1号线,茶亭
长沙,1号线,侯家塘
香港,东铁线(落馬洲-紅磡),火炭
北京,1号线八通线,八角游乐园
南京,1号线,中国药科大学
大连,1号线,中长街
深圳,1号线/罗宝线,购物公园
杭州,1号线,龙翔桥
苏州,1号线,广济南路
青岛,1号线,遵义路
宁波,1号线,东环南路
常州,1号线,河海
西安,1号线,开远门
贵阳,1号线,喷水池
天津,1号线,二纬路
广州,1号线,农讲所
成都,1号线(五根松-韦家碾),金融城
武汉,1号线,黄浦路
上海,1号线,常熟路
乌鲁木齐,1号线,新疆图书馆
太原,2号线,王村南街
兰州,1号线,文化宫
长春,1号线,繁荣路
济南,1号线,工研院
昆明,1号线(环城南路-大学城南),南部汽车站
东莞,2号线,陈屋
南昌,1号线,万寿宫
呼和浩特,1号线,艺术学院
厦门,1号线,火炬园
石家庄,1号线,体育场
南宁,1号线,麻村
温州,S1线,奥体中心
徐州,1号线,子房山
沈阳,1号线,铁西广场
合肥,1号线,骆岗
郑州,1号线,五一公园
无锡,1号线,南禅寺
佛山,南海有轨电车1号线,文翰湖公园(季华实验室)
重庆,1号线,高庙村
哈尔滨,1号线,理工大学
福州,1号线,达道
长沙,1号线,南湖路
香港,东铁线(落馬洲-紅磡),大学
北京,1号线八通线,八宝山
南京,1号线,南京交院
大连,1号线,兴工街
深圳,1号线/罗宝线,香蜜湖
杭州,1号线,凤起路
苏州,1号线,养育巷
青岛,1号线,南岭
宁波,1号线,盛莫路
常州,1号线,奥体中心
西安,1号线,劳动路
贵阳,1号线,北京路
天津,1号线,海光寺
广州,1号线,烈士陵园
成都,1号线(五根松-韦家碾),高新
武汉,1号线,三阳路
上海,1号线,陕西南路
乌鲁木齐,1号线,八楼
太原,2号线,长风街
兰州,1号线,西关
长春,1号线,卫星广场
济南,2号线,王府庄
昆明,1号线(环城南路-大学城南),斗南
东莞,2号线,寮厦
南昌,1号线,八一馆
呼和浩特,1号线,东影路
厦门,1号线,殿前
石家庄,1号线,北宋
南宁,1号线,民族广场
温州,S1线,永中
徐州,1号线,铜山路
沈阳,1号线,保工街
合肥,1号线,南站南广场
郑州,1号线,碧沙岗
无锡,1号线,谈渡桥
佛山,南海有轨电车1号线,三山新城南
重庆,1号线,马家岩
哈尔滨,1号线,学府路
福州,1号线,上藤
长沙,1号线,黄土岭
香港,东铁线(落馬洲-紅磡),大埔墟
北京,1号线八通线,玉泉路
南京,1号线,南医大·江苏经贸学院
大连,1号线,西安路
深圳,1号线/罗宝线,车公庙
杭州,1号线,武林广场
苏州,1号线,乐桥
青岛,1号线,兴国路
宁波,1号线,福庆北路
常州,1号线,市民广场
西安,1号线,玉祥门
贵阳,1号线,八鸽岩
天津,1号线,鞍山道
广州,1号线,东山口
成都,1号线(五根松-韦家碾),火车南站
武汉,1号线,大智路
上海,1号线,一大会址·黄陂南路
乌鲁木齐,1号线,王家梁
太原,2号线,学府街
兰州,1号线,省政府
长春,1号线,市政府
济南,2号线,腊山南
昆明,1号线(环城南路-大学城南),春融街
东莞,2号线,珊美
南昌,1号线,八一广场
呼和浩特,1号线,内蒙古展览馆
厦门,1号线,高崎
石家庄,1号线,谈固
南宁,1号线,新民路
温州,S1线,机场
徐州,1号线,黄山垅
沈阳,1号线,启工街
合肥,1号线,合肥南站
郑州,1号线,绿城广场
无锡,1号线,太湖广场
佛山,南海有轨电车1号线,林岳北
重庆,1号线,小龙坎
哈尔滨,1号线,和兴路
福州,1号线,三叉街
长沙,1号线,涂家冲
香港,东铁线(落馬洲-紅磡),太和
北京,1号线八通线,五棵松
南京,1号线,龙眠大道
大连,1号线,富国街
深圳,1号线/罗宝线,竹子林
杭州,1号线,西湖文化广场
苏州,1号线,临顿路
青岛,1号线,永年路
宁波,1号线,海晏北路
常州,1号线,翠竹
西安,1号线,洒金桥
贵阳,1号线,南垭路
天津,1号线,营口道
广州,1号线,杨箕
成都,1号线(五根松-韦家碾),桐梓林
武汉,1号线,循礼门
上海,1号线,人民广场
乌鲁木齐,1号线,南湖北路
太原,2号线,南中环
兰州,1号线,东方红广场
长春,1号线,华庆路
济南,2号线,腊山
昆明,1号线(环城南路-大学城南),驼峰街
东莞,2号线,展览中心
南昌,1号线,丁公路北
呼和浩特,1号线,内蒙古博物院
厦门,1号线,集美学村
石家庄,1号线,朝晖桥
南宁,1号线,朝阳广场
温州,S1线,灵昆
徐州,1号线,庆丰路
沈阳,1号线,重工街
合肥,1号线,望湖城
郑州,1号线,医学院
无锡,1号线,清名桥
佛山,南海有轨电车1号线,林岳西
重庆,1号线,沙坪坝
哈尔滨,1号线,西大桥
福州,1号线,白湖亭
长沙,1号线,铁道学院
香港,东铁线(落馬洲-紅磡),粉岭
北京,1号线八通线,万寿路
南京,1号线,天印大道
大连,1号线,会展中心
深圳,1号线/罗宝线,侨城东
杭州,1号线,打铁关
苏州,1号线,相门
青岛,1号线,沧安路
宁波,1号线,世纪大道
