北京,92
武汉,83
广州,83
重庆,70
郑州,67
上海,64
西安,63
成都,58
天津,57
长沙,57
南昌,54
合肥,54
昆明,52
南京,51
哈尔滨,49
杭州,47
沈阳,45
济南,43
长春,41
太原,38
福州,35
贵阳,35
南宁,35
大连,31
兰州,28
苏州,25
青岛,24
乌鲁木齐,24
呼和浩特,24
香港,22
厦门,16
宁波,14
无锡,13
徐州,12
温州,11
常州,10
南通,9
深圳,8
东莞,7
佛山,6
